Order Date,Profit,Customer Segment
1/7/2015,4.56,Corporate
6/13/2015,4390.3665,Home Office
2/15/2015,-53.8096,Home Office
5/12/2015,803.4705,Small Business
5/12/2015,-24.03,Small Business
5/12/2015,-37.03,Small Business
5/12/2015,-0.71,Small Business
4/8/2015,-59.82,Small Business
5/28/2015,261.8757,Small Business
2/12/2015,2.63,Small Business
2/12/2015,652.7331,Small Business
5/15/2015,314.4813,Small Business
5/21/2015,-114.6399,Small Business
5/15/2015,384.38,Small Business
5/21/2015,-17.49,Small Business
5/21/2015,-114.6399,Small Business
1/28/2015,-28.2968,Corporate
1/28/2015,-5.3072,Corporate
5/2/2015,8.894,Corporate
2/22/2015,144.69,Corporate
3/27/2015,-35.8788,Corporate
1/20/2015,209.997,Corporate
3/12/2015,3568.096,Corporate
6/15/2015,-84.4376,Corporate
6/15/2015,24.312,Corporate
5/10/2015,25.91382,Consumer
3/10/2015,162.666,Corporate
1/28/2015,-6923.5992,Corporate
3/10/2015,-67.49,Corporate
4/20/2015,19.6282,Consumer
4/20/2015,-1.6524,Consumer
5/9/2015,2.14,Corporate
6/12/2015,349.4091,Corporate
3/2/2015,-37.5291,Small Business
3/2/2015,101.49,Small Business
1/2/2015,845.664,Corporate
1/2/2015,-308.928,Corporate
1/2/2015,-1679.76,Corporate
1/2/2015,575.396,Corporate
2/2/2015,-2426.55,Corporate
2/2/2015,-2426.55,Corporate
3/15/2015,-715.778206,Corporate
2/2/2015,-144.56,Consumer
3/30/2015,7402.32,Corporate
6/3/2015,1892.424,Corporate
3/22/2015,28.8558,Corporate
3/22/2015,173.48,Corporate
5/17/2015,117.852,Home Office
2/18/2015,34.0104,Home Office
3/4/2015,2031.507,Corporate
5/17/2015,-190.68,Home Office
5/17/2015,325.398,Home Office
6/7/2015,22.818,Corporate
5/3/2015,116.1,Home Office
5/3/2015,-87.96,Home Office
5/3/2015,255.42,Home Office
5/3/2015,685.6146,Home Office
6/22/2015,-16.2,Consumer
4/6/2015,2023.75,Consumer
6/22/2015,-20.25,Consumer
6/22/2015,-3.381,Consumer
4/6/2015,1684.4763,Consumer
6/22/2015,-2.7048,Consumer
1/3/2015,18.658,Home Office
4/4/2015,40.2477,Home Office
4/4/2015,14.0898,Home Office
4/9/2015,-55.84,Home Office
1/3/2015,9.82,Home Office
4/4/2015,112.06,Home Office
4/4/2015,16.79,Home Office
4/9/2015,-55.84,Home Office
1/12/2015,41.2965,Corporate
1/12/2015,1179.0237,Corporate
4/9/2015,105.678,Home Office
