Ship Mode,Shipping Cost,Sales
Express Air,0.93,13.01
Delivery Truck,26,6362.85
Regular Air,7.29,211.15
Regular Air,19.99,1164.45
Regular Air,2.31,22.23
Regular Air,4.2,13.99
Regular Air,1.63,14.26
Regular Air,4.99,33.47
Regular Air,6.66,379.53
Regular Air,1.58,18.8
Regular Air,2.5,945.99
Regular Air,6.93,455.77
Regular Air,9.44,231.79
Regular Air,6.93,1876.69
Regular Air,3.39,293.06
Regular Air,9.44,914.29
Regular Air,14.3,67.49
Regular Air,1.57,2.25
Regular Air,6.6,54.78
Regular Air,7.73,424.68
Regular Air,8.51,40.17
Express Air,7.69,783.55
Regular Air,8.99,3838.14
Regular Air,5.41,58.68
Regular Air,0.7,53.1
Regular Air,19.99,647.07
Regular Air,2.5,627.04
Delivery Truck,8.73,3267.55
Regular Air,5.79,110.19
Regular Air,1.49,73.55
Regular Air,0.7,29.57
Regular Air,5.15,22.85
Regular Air,4.86,506.39
Regular Air,0.5,4
Express Air,4.99,589.8
Regular Air,7.07,1225.6
Delivery Truck,48.8,1239.06
Delivery Truck,45,4083.19
Regular Air,7.07,4902.38
Delivery Truck,70.2,5718.85
Delivery Truck,70.2,1400.53
Delivery Truck,54.12,1821.89
Regular Air,7.96,90.98
Regular Air,19.99,10728
Regular Air,19.99,3127.69
Regular Air,0.5,41.82
Delivery Truck,54.12,2875.72
Regular Air,4.1,170.8
Regular Air,2.04,53.54
Regular Air,8.99,3363.53
Regular Air,1.43,132.08
Regular Air,6.07,45.34
Express Air,3.14,216.04
Delivery Truck,30,6276.34
Regular Air,4,2664.4
Delivery Truck,30,1526.68
Regular Air,8.99,1952.56
Regular Air,4,303.59
Delivery Truck,54.92,9459.94
Regular Air,4,1233.32
Regular Air,1.49,47.31
Delivery Truck,54.92,2441.27
Regular Air,1.49,11.13
Regular Air,1.2,29.5
Regular Air,0.5,58.33
Express Air,1.3,20.42
Regular Air,1.99,26.07
Regular Air,1.2,122.23
Regular Air,0.5,228.46
Express Air,1.3,77.61
Regular Air,1.99,99.94
Regular Air,0.5,59.85
Express Air,3,1708.73
Regular Air,6.14,94.97
Regular Air,4.08,10.23
Regular Air,1.39,217.23
Regular Air,9.54,101.74
Regular Air,3.37,84.52
Regular Air,11.54,312.59
Regular Air,3.37,64.4
Regular Air,2.17,14.65
Express Air,69,453.62
Regular Air,4.8,193.59
Delivery Truck,26.2,929.57
Regular Air,5.5,62.46
Regular Air,2.5,28.11
Regular Air,0.7,5.5
Regular Air,48.2,667.84
Regular Air,8.99,292.23
Regular Air,4,772.56
Regular Air,4.9,1050.08
Regular Air,4.5,33.82
Delivery Truck,35.84,715.55
Regular Air,5.49,45.63
Delivery Truck,12.06,1839.91
Regular Air,16.71,130.62
Regular Air,24.49,6945.16
Regular Air,2.27,30.94
Regular Air,1.49,3.42
Regular Air,19.99,901.81
Regular Air,1.57,186.59
Regular Air,19.99,250.5
Regular Air,2.06,221.24
Regular Air,1.57,46.65
Regular Air,1.49,164.71
Regular Air,4.5,79.68
Regular Air,1.49,53.26
Regular Air,4,203.49
Regular Air,8.08,2356.01
Delivery Truck,14.7,224.12
Regular Air,5.27,140.3
Regular Air,9.17,28.2
Regular Air,1.35,71.55
Regular Air,19.99,3108.98
Regular Air,19.99,12599.55
Regular Air,4.86,34.65
Regular Air,5.53,85.79
Regular Air,2.58,17.61
Express Air,7.78,27.3
Regular Air,6.68,64.75
Regular Air,2.36,62.98
Regular Air,2.06,21.2
Regular Air,5.92,173.32
Regular Air,2.56,42.29
Delivery Truck,56.14,730.37
Delivery Truck,32.41,450.49
Regular Air,8.49,58.8
Regular Air,6.22,120.47
Delivery Truck,23.19,1599.96
Regular Air,1.49,197.59
Regular Air,1.99,33.04
Express Air,7.49,27.45
Delivery Truck,14.7,4775.11
Express Air,5.77,57.41
Delivery Truck,66.67,2809.87
Regular Air,9.92,79.93
Regular Air,3,873.18
Delivery Truck,80.2,798.69
Regular Air,5.92,792.11
Regular Air,0.99,28.73
Express Air,1.3,109.74
Regular Air,3.9,1543.55
Delivery Truck,35.67,1332.82
Regular Air,2.64,34.64
Regular Air,1.99,52.47
